gid,ply,spend
0YOCzJlN,50,37.0
OjgFpnVr,30,14.0
BpCSgbYp,39,15.0
cc121350665000,41,21.0
itdx5QHQ,30,11.0
EFcDE9HA,29,19.0
cc165612965868,32,9.1
cc165432405340,25,16.4
dBbFnJid,51,13.0
KCyMDyaE,52,13.0
Vlw5nS1m,37,23.0
imXcnau6,26,13.0
cc119471250992,36,17.3
cc119718184436,50,27.0
Ca6jY4Tb,40,10.0
IDnfBNgy,54,9.0
DJxc5UXg,46,8.0
bWHmqTCK,33,23.0
gxSrUclr,29,13.0
cc121250254118,49,8.0
Yu6fhe8k,57,13.0
TEmQ6zQS,42,25.0
iFKHORw9,47,10.0
EQOL6QJG,28,14.0
GBZwtNbC,26,14.0
cc121061757696,34,17.7
GTDMB9LV,35,10.0
cvjQG3LO,37,22.0
cc120243169716,37,10.2
tRW3gkVw,28,11.0
Uyzd3fzG,48,14.0
M6G2vwm7,33,23.0
lnA7SsKn,27,9.0
4EMfVjCF,30,9.0
Ll5a3iUP,50,8.0
TAczGodW,36,12.0
cc120828966808,48,40.3
oFzhjxRm,48,15.0
vWbAFKhs,37,8.0
cc120722653970,39,11.8
SSmYyehz,31,13.0
rVXG20za,31,15.0
zwT3KHsz,52,14.0
cc120229997586,27,47.8
W9048N5g,28,13.0
orRqGvKi,31,16.0
Hoy5B3y9,40,14.0
07xFVFMD,32,11.0
uirooaSo,35,23.0
E721pxlx,30,29.0
p8fnE0tu,39,8.0
A9G06InN,54,19.0
cc119682331920,49,10.1
5ZOraLao,32,10.0
A3hW5rYn,30,15.0
cc166699677196,39,8.2
EWKJUBP1,43,14.0
rgS6jJJE,44,21.0
cc119862675408,34,26.5
tws71vU7,27,12.0
phtR6HoB,57,10.0
cc165518725982,26,12.1
cc120003922990,25,15.3
cc119970804942,30,13.0
HmWDWZia,25,9.0
CPHUf1hD,34,14.0
cc119473783626,58,9.8
XWhEYKeP,47,8.0
HvN7llS7,43,9.0
Rdm0qoso,40,13.0
ml4eFeLh,43,9.0
y6aS3rjn,46,24.0
Ca6jY4Tb,44,10.0
YsxxHHsp,43,10.0
a1b9uDn5,43,11.0
l1LxrgkU,28,22.0
